City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Palmerston,AU,2022-05-05 22:58:24,-12.486,130.9833,80.92,75,0,9.22
202,Ugoofaaru,MV,2022-05-05 22:58:25,5.6667,73.0,83.55,75,100,10.38
203,Kariba,ZW,2022-05-05 22:58:25,-16.5167,28.8,66.52,67,32,4.18
204,Cahul,MD,2022-05-05 22:58:26,45.9075,28.1944,49.62,55,0,5.99
205,Bengkulu,ID,2022-05-05 22:58:26,-3.8004,102.2655,75.29,88,97,3.85
206,Kavieng,PG,2022-05-05 22:58:27,-2.5744,150.7967,85.23,72,77,13.49
207,La Salle,US,2022-05-05 22:57:31,41.3334,-89.0918,54.48,87,100,11.5
208,Grindavik,IS,2022-05-05 22:58:27,63.8424,-22.4338,39.15,81,75,20.71
209,Geraldton,AU,2022-05-05 22:58:28,-28.7667,114.6,57.61,44,0,18.41
210,Torbay,CA,2022-05-05 22:54:58,47.6666,-52.7314,42.76,94,100,4.61
211,Axim,GH,2022-05-05 22:58:29,4.8699,-2.2405,80.67,85,43,7.14
212,Dunedin,NZ,2022-05-05 22:54:46,-45.8742,170.5036,62.06,63,61,2.55
213,Marawi,PH,2022-05-05 22:58:29,7.9986,124.2928,72.25,89,66,1.5
214,Matale,LK,2022-05-05 22:58:30,7.4721,80.6234,72.7,96,99,3.11
215,Piacabucu,BR,2022-05-05 22:58:31,-10.4056,-36.4344,78.67,78,2,8.66
216,Dudinka,RU,2022-05-05 22:58:31,69.4058,86.1778,15.62,91,100,18.43
217,Luanda,AO,2022-05-05 22:58:32,-8.8368,13.2343,78.8,89,75,5.75
218,Manitouwadge,CA,2022-05-05 22:58:32,49.1215,-85.8403,53.11,62,60,5.5
219,Muslyumovo,RU,2022-05-05 22:58:33,55.3033,53.1947,31.77,78,9,12.93
220,Kedougou,SN,2022-05-05 22:58:33,12.5579,-12.1743,86.58,35,0,4.61
221,Zaysan,KZ,2022-05-05 22:58:34,47.4667,84.8667,60.49,65,100,3.71
222,Vapi,IN,2022-05-05 22:58:34,20.3718,72.9049,80.55,80,0,4.14
223,Collie,AU,2022-05-05 22:58:35,-33.3667,116.15,47.61,71,0,7.31
224,Ostrovnoy,RU,2022-05-05 22:58:36,68.0531,39.5131,21.65,80,19,15.64
225,Bartica,GY,2022-05-05 22:58:36,6.4,-58.6167,79.12,98,99,3.85
226,Tasiilaq,GL,2022-05-05 22:58:37,65.6145,-37.6368,14.4,77,41,4.83
227,Byron Bay,AU,2022-05-05 22:57:13,-28.65,153.6167,69.94,88,100,8.68
228,Muskogee,US,2022-05-05 22:58:37,35.5834,-95.3336,66.27,93,97,7.23
229,Sinnamary,GF,2022-05-05 22:59:38,5.3833,-52.95,78.21,88,88,8.55
230,Alexandria,EG,2022-05-05 22:59:23,31.2156,29.9553,64.36,63,40,17.27
231,Alofi,NU,2022-05-05 22:59:38,-19.0595,-169.9187,82.29,69,40,10.36
232,Sao Filipe,CV,2022-05-05 22:59:39,14.8961,-24.4956,72.64,80,26,5.19
233,Lebanon,US,2022-05-05 22:56:01,36.2081,-86.2911,73.45,97,75,0.0
