City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
210,Uchiza,PE,2022-05-12 05:56:57,-8.4592,-76.4633,69.93,99,73,1.99,broken clouds
211,Lagos,NG,2022-05-12 05:56:58,6.5833,3.75,77.32,90,72,1.63,broken clouds
212,Chuy,UY,2022-05-12 05:56:58,-33.6971,-53.4616,52.9,80,71,7.63,broken clouds
213,Pavlivka,UA,2022-05-12 05:56:59,49.4414,28.4596,61.39,70,94,9.31,overcast clouds
214,Nago,JP,2022-05-12 05:56:59,26.5881,127.9761,84.63,73,46,13.33,moderate rain
215,Farmington,US,2022-05-12 05:57:00,36.7281,-108.2187,63.7,22,98,3.0,overcast clouds
216,Khani,GE,2022-05-12 05:57:00,41.9563,42.9566,49.57,70,41,4.07,scattered clouds
217,Alofi,NU,2022-05-12 05:57:01,-19.0595,-169.9187,78.69,89,43,3.44,scattered clouds
218,Opuwo,NA,2022-05-12 05:57:01,-18.0607,13.84,62.08,32,0,4.65,clear sky
219,East Retford,GB,2022-05-12 05:57:02,53.3221,-0.9432,50.85,80,0,10.36,clear sky
220,Aklavik,CA,2022-05-12 05:57:02,68.2191,-135.0107,36.19,84,49,8.03,scattered clouds
221,La Asuncion,VE,2022-05-12 05:57:03,11.0333,-63.8628,78.53,89,30,19.57,scattered clouds
222,Dickson,US,2022-05-12 05:54:02,36.077,-87.3878,73.72,97,100,0.0,overcast clouds
223,Saint-Francois,FR,2022-05-12 05:57:04,46.4154,3.9054,56.64,88,0,2.3,clear sky
224,Fuengirola,ES,2022-05-12 05:57:04,36.54,-4.6247,67.68,53,0,10.36,clear sky
225,Tasiilaq,GL,2022-05-12 05:57:05,65.6145,-37.6368,13.03,84,77,6.4,broken clouds
226,Arkhangelsk,RU,2022-05-12 05:57:05,64.5401,40.5433,55.51,47,40,6.71,scattered clouds
227,Camocim,BR,2022-05-12 05:57:05,-2.9022,-40.8411,75.74,90,92,6.29,overcast clouds
228,Mana,GF,2022-05-12 05:57:06,5.6592,-53.7767,76.37,90,16,10.6,few clouds
229,Novosil,RU,2022-05-12 05:57:06,52.9739,37.0405,55.44,73,100,10.92,overcast clouds
230,Vostok,RU,2022-05-12 05:58:07,46.4856,135.8833,55.56,33,78,10.69,broken clouds
231,Altay,CN,2022-05-12 05:58:07,47.8667,88.1167,63.16,26,85,9.28,overcast clouds
232,Hovd,MN,2022-05-12 05:58:08,48.0056,91.6419,48.63,16,48,8.95,scattered clouds
233,Roma,US,2022-05-12 05:58:08,43.2128,-75.4557,58.73,77,11,3.98,few clouds
234,Caramay,PH,2022-05-12 05:58:09,10.1815,119.236,86.31,69,50,7.78,scattered clouds
235,Knysna,ZA,2022-05-12 05:58:10,-34.0363,23.0471,55.92,79,0,3.13,clear sky
236,Kutum,SD,2022-05-12 05:58:10,14.2,24.6667,84.81,10,100,15.43,overcast clouds
237,Kruisfontein,ZA,2022-05-12 05:58:11,-34.0033,24.7314,53.94,81,0,3.42,clear sky
238,Esperance,AU,2022-05-12 05:58:11,-33.8667,121.9,64.35,80,100,9.75,overcast clouds
239,Deputatskiy,RU,2022-05-12 05:58:12,69.3,139.9,30.29,98,96,4.16,light snow
240,Souillac,MU,2022-05-12 05:58:12,-20.5167,57.5167,79.18,78,40,6.91,light rain
241,Lazaro Cardenas,MX,2022-05-12 05:58:13,17.9583,-102.2,78.13,78,99,2.98,overcast clouds
242,Buala,SB,2022-05-12 05:58:13,-8.145,159.5921,82.87,77,100,4.29,light rain
243,Rasskazovo,RU,2022-05-12 05:58:14,52.6714,41.9033,53.37,70,100,12.39,overcast clouds
244,Khatanga,RU,2022-05-12 05:58:14,71.9667,102.5,26.11,83,71,16.26,broken clouds
245,Eyl,SO,2022-05-12 05:58:15,7.9803,49.8164,90.91,51,16,13.94,few clouds
246,Marawi,PH,2022-05-12 05:58:15,7.9986,124.2928,78.42,84,47,4.72,scattered clouds
247,Mecca,SA,2022-05-12 05:56:02,21.4267,39.8261,102.45,5,0,12.93,clear sky
248,Morondava,MG,2022-05-12 05:58:16,-20.2833,44.2833,74.86,56,0,5.14,clear sky
249,Umm Kaddadah,SD,2022-05-12 05:58:16,13.6017,26.6876,88.43,8,43,10.63,scattered clouds
250,Arraial Do Cabo,BR,2022-05-12 05:58:17,-22.9661,-42.0278,66.16,94,0,0.0,clear sky
251,Baglung,NP,2022-05-12 05:58:17,28.2719,83.5898,77.81,70,50,4.38,scattered clouds
252,Benoy,TD,2022-05-12 05:58:18,8.9833,16.3199,83.59,55,94,7.92,overcast clouds
253,Kuytun,RU,2022-05-12 05:58:18,54.3419,101.5036,60.35,22,0,4.27,clear sky
254,Makakilo City,US,2022-05-12 05:58:19,21.3469,-158.0858,75.56,71,100,12.66,light intensity drizzle
255,Nenjiang,CN,2022-05-12 05:58:19,49.1833,125.2167,51.1,28,99,7.31,overcast clouds
256,Zyryanskoye,RU,2022-05-12 05:58:20,56.8306,86.6258,66.51,22,74,12.21,broken clouds
257,Badvel,IN,2022-05-12 05:58:20,14.75,79.05,77.09,56,100,19.26,heavy intensity rain
258,Komsomolskiy,UZ,2022-05-12 05:58:21,40.4272,71.7189,72.32,56,1,2.3,clear sky
259,Anloga,GH,2022-05-12 05:58:21,5.7947,0.8973,82.15,82,75,9.04,broken clouds
260,Daru,PG,2022-05-12 05:58:22,-9.0763,143.2092,83.62,81,97,6.67,moderate rain
261,Kaitangata,NZ,2022-05-12 05:58:22,-46.2817,169.8464,50.86,79,92,5.5,overcast clouds
262,Kotli Loharan,PK,2022-05-12 05:58:23,32.5883,74.4932,107.49,15,1,9.69,clear sky
